-1.0000e-01,0.500594
-9.998e-02,0.501219
-9.996e-02,0.5055
-9.994e-02,0.507375
-9.992e-02,0.509406
-9.990e-02,0.511781
-9.988e-02,0.514563
-9.986e-02,0.516062
-9.984e-02,0.51775
-9.982e-02,0.519656
-9.980e-02,0.520875
-9.978e-02,0.524094
-9.976e-02,0.526187
-9.974e-02,0.527406
-9.972e-02,0.531094
-9.970e-02,0.531625
-9.968e-02,0.533844
-9.966e-02,0.536281
-9.964e-02,0.537875
-9.962e-02,0.541563
-9.960e-02,0.541375
-9.958e-02,0.5435
-9.956e-02,0.544094
-9.954e-02,0.547406
-9.952e-02,0.550906
-9.950e-02,0.553125
-9.948e-02,0.553781
-9.946e-02,0.556469
-9.944e-02,0.557844
-9.942e-02,0.558688
-9.940e-02,0.560094
-9.938e-02,0.562
-9.936e-02,0.566281
-9.934e-02,0.565781
-9.932e-02,0.569125
-9.930e-02,0.568813
-9.928e-02,0.571906
-9.926e-02,0.572281
-9.924e-02,0.5755
-9.922e-02,0.576813
-9.920e-02,0.578688
-9.918e-02,0.582313
-9.916e-02,0.582187
-9.914e-02,0.582781
-9.912e-02,0.586531
-9.910e-02,0.5875
-9.908e-02,0.588656
-9.906e-02,0.590688
-9.904e-02,0.590313
-9.902e-02,0.594406
-9.900e-02,0.594781
-9.898e-02,0.5955
-9.896e-02,0.597844
-9.894e-02,0.600219
-9.892e-02,0.601656
-9.890e-02,0.604375
-9.888e-02,0.60525
-9.886e-02,0.607344
-9.884e-02,0.609406
-9.882e-02,0.609094
-9.880e-02,0.612469
-9.878e-02,0.614594
-9.876e-02,0.611906
-9.874e-02,0.615594
-9.872e-02,0.61575
-9.870e-02,0.619781
-9.868e-02,0.620531
-9.866e-02,0.624688
-9.864e-02,0.623188
-9.862e-02,0.625156
-9.860e-02,0.627875
-9.858e-02,0.627656
-9.856e-02,0.628844
-9.854e-02,0.631969
-9.852e-02,0.6335
-9.850e-02,0.633437
-9.848e-02,0.635438
-9.846e-02,0.637594
-9.844e-02,0.639125
-9.842e-02,0.639406
-9.840e-02,0.641594
-9.838e-02,0.641906
-9.836e-02,0.64425
-9.834e-02,0.644719
-9.832e-02,0.646
-9.830e-02,0.646469
-9.828e-02,0.650812
-9.826e-02,0.650812
-9.824e-02,0.653
-9.822e-02,0.654656
-9.820e-02,0.653719
-9.818e-02,0.655188
-9.816e-02,0.657969
-9.814e-02,0.658
-9.812e-02,0.660781
-9.810e-02,0.662563
-9.808e-02,0.664531
-9.806e-02,0.664094
-9.804e-02,0.666125
-9.802e-02,0.667344
-9.800e-02,0.667875
-9.798e-02,0.671094
-9.796e-02,0.670469
-9.794e-02,0.673281
-9.792e-02,0.672687
-9.790e-02,0.676188
-9.788e-02,0.677156
-9.786e-02,0.677156
-9.784e-02,0.678438
-9.782e-02,0.677688
-9.780e-02,0.6805
-9.778e-02,0.680969
-9.776e-02,0.682781
-9.774e-02,0.685125
-9.772e-02,0.683906
-9.770e-02,0.686344
-9.768e-02,0.688625
-9.766e-02,0.687906
-9.764e-02,0.690094
-9.762e-02,0.690594
-9.760e-02,0.691656
-9.758e-02,0.691281
-9.756e-02,0.693344
-9.754e-02,0.694906
-9.752e-02,0.694937
-9.750e-02,0.69825
-9.748e-02,0.69775
-9.746e-02,0.700687
-9.744e-02,0.701156
-9.742e-02,0.701219
-9.740e-02,0.70275
-9.738e-02,0.702375
-9.736e-02,0.704813
-9.734e-02,0.70575
-9.732e-02,0.70575
-9.730e-02,0.707531
-9.728e-02,0.708125
-9.726e-02,0.709719
-9.724e-02,0.712656
-9.722e-02,0.711969
-9.720e-02,0.711281
-9.718e-02,0.712688
-9.716e-02,0.714187
-9.714e-02,0.715937
-9.712e-02,0.716594
-9.710e-02,0.71925
-9.708e-02,0.720656
-9.706e-02,0.720125
-9.704e-02,0.721
-9.702e-02,0.721188
-9.700e-02,0.723219
-9.698e-02,0.723094
-9.696e-02,0.726469
-9.694e-02,0.725125
-9.692e-02,0.726906
-9.690e-02,0.729437
-9.688e-02,0.728313
-9.686e-02,0.73075
-9.684e-02,0.731906
-9.682e-02,0.732875
-9.680e-02,0.733281
-9.678e-02,0.733437
-9.676e-02,0.734906
-9.674e-02,0.733656
-9.672e-02,0.736344
-9.670e-02,0.736719
-9.668e-02,0.738969
-9.666e-02,0.7385
-9.664e-02,0.741031
-9.662e-02,0.740344
-9.660e-02,0.742469
-9.658e-02,0.742688
-9.656e-02,0.742594
-9.654e-02,0.745062
-9.652e-02,0.743875
-9.650e-02,0.746437
-9.648e-02,0.746844
-9.646e-02,0.748438
-9.644e-02,0.747938
-9.642e-02,0.749969
-9.640e-02,0.74825
-9.638e-02,0.749875
-9.636e-02,0.751031
-9.634e-02,0.75225
-9.632e-02,0.753844
-9.630e-02,0.754031
-9.628e-02,0.754437
-9.626e-02,0.758219
-9.624e-02,0.755469
-9.622e-02,0.757875
-9.620e-02,0.759625
-9.618e-02,0.758594
-9.616e-02,0.760344
-9.614e-02,0.76275
-9.612e-02,0.76425
-9.610e-02,0.764219
-9.608e-02,0.765281
-9.606e-02,0.764594
-9.604e-02,0.765719
-9.602e-02,0.766219
-9.600e-02,0.766594
-9.598e-02,0.767625
-9.596e-02,0.769062
-9.594e-02,0.769719
-9.592e-02,0.770125
-9.590e-02,0.771219
-9.588e-02,0.771531
-9.586e-02,0.772625
-9.584e-02,0.77375
-9.582e-02,0.773844
-9.580e-02,0.775
-9.578e-02,0.774812
-9.576e-02,0.77775
-9.574e-02,0.776813
-9.572e-02,0.776906
